Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
GA-073,Columbia County,53.33,108,7.43,45.9
GA-075,Cook County,57.32,106,8.01,49.31
GA-077,Coweta County,67.63,124,16.51,51.12
GA-079,Crawford County,54.44,103,6.42,48.02
GA-081,Crisp County,62.59,121,15.62,46.97
GA-083,Dade County,66.66,111,12.57,54.09
GA-085,Dawson County,76.79,120,17.57,59.22
GA-087,Decatur County,69.7,120,16.11,53.59
GA-089,DeKalb County,69.37,123,19,50.37
GA-091,Dodge County,57.8,114,10.41,47.39
GA-093,Dooly County,59.98,115,12.86,47.12
GA-095,Dougherty County,60.25,112,10.86,49.39
GA-097,Douglas County,70.66,122,18.86,51.8
GA-099,Early County,64.82,114,11.8,53.02
GA-101,Echols County,61.69,114,10.79,50.9
GA-103,Effingham County,51.22,85,3.04,48.18
GA-105,Elbert County,61.05,118,12.75,48.3
GA-107,Emanuel County,54.71,106,8.41,46.3
GA-109,Evans County,51.68,93,4.23,47.45
GA-111,Fannin County,83.06,124,23.12,59.94
GA-113,Fayette County,67.02,123,17.07,49.95
GA-115,Floyd County,67.33,119,15.32,52.01
GA-117,Forsyth County,72.27,121,18.83,53.44
GA-119,Franklin County,63.45,118,13.26,50.19
GA-121,Fulton County,70.12,123,19.31,50.81
GA-123,Gilmer County,85.2,124,23.78,61.42
GA-125,Glascock County,53.36,106,6.64,46.72
GA-127,Glynn County,53.14,84,2.43,50.71
GA-129,Gordon County,68.82,120,16.13,52.69
GA-131,Grady County,69.17,118,15.35,53.82
GA-133,Greene County,59.59,115,11.79,47.8
GA-135,Gwinnett County,69.75,121,18.62,51.13
GA-137,Habersham County,88.94,124,25.44,63.5
GA-139,Hall County,74.57,121,20.05,54.52
GA-141,Hancock County,54.28,105,7.25,47.03
GA-143,Haralson County,70.93,122,17.83,53.1
GA-145,Harris County,62.64,113,11.37,51.27
GA-147,Hart County,60.78,115,11.75,49.03
GA-149,Heard County,67.6,121,14.78,52.82
GA-151,Henry County,65.59,119,15.75,49.84
GA-153,Houston County,58.17,114,11.15,47.02
GA-155,Irwin County,58.25,113,10.64,47.61
GA-157,Jackson County,71.27,124,20.85,50.42
GA-159,Jasper County,58.66,110,9.81,48.85
GA-161,Jeff Davis County,51.37,95,4.02,47.35
GA-163,Jefferson County,53.4,106,7.31,46.09
GA-165,Jenkins County,53.93,108,7.77,46.16
GA-167,Johnson County,54.61,111,8.34,46.27
GA-169,Jones County,54.55,106,7.63,46.92
GA-171,Lamar County,61.45,114,11.69,49.76
GA-173,Lanier County,56.58,104,6.99,49.59
GA-175,Laurens County,58.16,116,11.54,46.62
GA-177,Lee County,61.26,116,12.62,48.64
GA-179,Liberty County,51.25,79,2.11,49.14
GA-181,Lincoln County,52.8,97,5.82,46.98
GA-183,Long County,51.95,87,3.05,48.9
GA-185,Lowndes County,61.78,114,10.96,50.82
GA-187,Lumpkin County,84.2,123,21.7,62.5
GA-189,McDuffie County,52.23,96,5.42,46.81
GA-191,McIntosh County,52.38,80,2.17,50.21
GA-193,Macon County,55.41,108,7.38,48.03
GA-195,Madison County,67.52,123,18,49.52
GA-197,Marion County,58.43,108,9.04,49.39
GA-199,Meriwether County,65.31,120,14.31,51
GA-201,Miller County,67.69,120,14.49,53.2
GA-205,Mitchell County,62.2,115,11.47,50.73
GA-207,Monroe County,56.11,103,7.74,48.37
GA-209,Montgomery County,58.44,115,12.01,46.43
GA-211,Morgan County,63.03,119,14.1,48.93
GA-213,Murray County,83.17,125,27.03,56.14
GA-215,Muscogee County,59.38,107,9.86,49.52
GA-217,Newton County,62.81,115,12.96,49.85
GA-219,Oconee County,70.25,123,20.58,49.67
GA-221,Oglethorpe County,62.25,120,13.75,48.5
GA-223,Paulding County,63.57,116,12.23,51.34
GA-225,Peach County,55.13,108,7.92,47.21
GA-227,Pickens County,74.81,119,17.33,57.48
GA-229,Pierce County,50.13,81,1.39,48.74
GA-231,Pike County,64.31,118,14.18,50.13
GA-233,Polk County,65.71,119,14.6,51.11
GA-235,Pulaski County,61.11,118,14.28,46.83
GA-237,Putnam County,57.11,112,9.63,47.48
GA-239,Quitman County,58.91,108,8.33,50.58
GA-241,Rabun County,94.57,123,25.4,69.17
GA-243,Randolph County,59.64,106,8.55,51.09
GA-245,Richmond County,55.38,116,10.58,44.8
GA-247,Rockdale County,66.27,121,16.02,50.25
GA-249,Schley County,57.23,108,8.25,48.98
GA-251,Screven County,54.6,110,8.07,46.53
GA-253,Seminole County,71.09,120,17.71,53.38
GA-255,Spalding County,64.62,118,15.02,49.6
GA-257,Stephens County,73.75,120,18.1,55.65
GA-259,Stewart County,58.55,109,9.4,49.15
GA-261,Sumter County,59.2,113,10.64,48.56
GA-263,Talbot County,60.21,110,9.7,50.51
GA-265,Taliaferro County,52.79,97,4.97,47.82
GA-267,Tattnall County,50.71,88,3.27,47.44
GA-269,Taylor County,56.17,104,7.02,49.15
GA-271,Telfair County,57.44,113,10.08,47.36
GA-273,Terrell County,60.44,110,10.35,50.09
GA-275,Thomas County,65.87,115,12.8,53.07
GA-277,Tift County,58.75,116,10.58,48.17
GA-279,Toombs County,53.3,103,6.44,46.86
GA-281,Towns County,89.41,124,26.64,62.77
GA-283,Treutlen County,59.46,117,13.06,46.4
GA-285,Troup County,65.31,118,13.65,51.66
GA-287,Turner County,61.27,120,13.57,47.7
GA-289,Twiggs County,56.25,112,9.75,46.5
GA-291,Union County,86.29,124,25.54,60.75
GA-293,Upson County,60.78,111,10.77,50.01
GA-295,Walker County,59.51,93,5.75,53.76
