"YEAR","CASES","STATEFP","STNAME","POP","RATE"
2007,6,"21","Kentucky",4256672,0.140955187526781
2007,2,"22","Louisiana",4375581,0.0457082156632456
2007,529,"23","Maine",1327040,39.863154087292
2007,2576,"24","Maryland",5653408,45.5654359282047
2007,2988,"25","Massachusetts",6431559,46.4584092286178
2007,51,"26","Michigan",10001284,0.509934524407066
2007,1238,"27","Minnesota",5207203,23.7747596934477
2007,1,"28","Mississippi",2928350,0.0341489234551881
2007,10,"29","Missouri",5887612,0.169848148960903
2007,4,"30","Montana",964706,0.41463409577633
2007,7,"31","Nebraska",1783440,0.392499887857175
2007,15,"32","Nevada",2601072,0.576685305135729
2007,896,"33","New Hampshire",1312540,68.2645862221342
2007,3134,"34","New Jersey",8677885,36.1147906431118
2007,5,"35","New Mexico",1990070,0.251247443557262
2007,4165,"36","New York",19132335,21.7694285616471
2007,53,"37","North Carolina",9118037,0.58126546316932
2007,12,"38","North Dakota",652822,1.83817334587376
2007,33,"39","Ohio",11500468,0.286944844331552
2007,1,"40","Oklahoma",3634349,0.0275152441331309
2007,6,"41","Oregon",3722417,0.161185595273179
2007,3994,"42","Pennsylvania",12563937,31.7893984982574
2007,177,"44","Rhode Island",1057315,16.7405172536094
2007,31,"45","South Carolina",4444110,0.697552490824935
2007,0,"46","South Dakota",791623,0
2007,31,"47","Tennessee",6175727,0.501965193733466
2007,87,"48","Texas",23831983,0.365055648117909
2007,7,"49","Utah",2597746,0.269464374115098
2007,138,"50","Vermont",623481,22.1337939728717
2007,959,"51","Virginia",7751000,12.3725970842472
2007,12,"53","Washington",6461587,0.185712890656738
2007,84,"54","West Virginia",1834052,4.58002281287553
2007,1814,"55","Wisconsin",5610775,32.3306495092033
2007,3,"56","Wyoming",534876,0.560877661364503
2008,9,"01","Alabama",4718206,0.190750467444618
2008,6,"02","Alaska",687455,0.872784400433483
2008,8,"04","Arizona",6280362,0.12738119235802
2008,0,"05","Arkansas",2874554,0
2008,74,"06","California",36604337,0.20216183672443
2008,3,"08","Colorado",4889730,0.0613530808449546
2008,3896,"09","Connecticut",3545579,109.883322300815
2008,772,"10","Delaware",883874,87.3427660503646
2008,74,"11","District of Columbia",580236,12.7534313624112
2008,88,"12","Florida",18527305,0.474974638783137
2008,35,"13","Georgia",9504843,0.368233331155496
2008,0,"15","Hawaii",1332213,0
2008,9,"16","Idaho",1534320,0.586579070858752
2008,108,"17","Illinois",12747038,0.847255652646521
2008,42,"18","Indiana",6424806,0.653716236723724
2008,109,"19","Iowa",3016734,3.61317902075556
2008,16,"20","Kansas",2808076,0.569785148265218
2008,5,"21","Kentucky",4289878,0.116553431123216
2008,3,"22","Louisiana",4435586,0.0676348063142052
2008,908,"23","Maine",1330509,68.2445590371805
2008,2218,"24","Maryland",5684965,39.015191826159
2008,4582,"25","Massachusetts",6468967,70.8304741699873
2008,92,"26","Michigan",9946889,0.924912301725695
2008,1282,"27","Minnesota",5247018,24.4329255207434
2008,1,"28","Mississippi",2947806,0.0339235349951795
2008,6,"29","Missouri",5923916,0.10128435312047
2008,17,"30","Montana",976415,1.74106297015101
2008,12,"31","Nebraska",1796378,0.668010852949658
2008,12,"32","Nevada",2653630,0.452210745280992
2008,1601,"33","New Hampshire",1315906,121.665225327645
2008,3485,"34","New Jersey",8711090,40.0064745054867
2008,8,"35","New Mexico",2010662,0.397878907543884
2008,7794,"36","New York",19212436,40.5674741089573
2008,47,"37","North Carolina",9309449,0.504863392022449
2008,10,"38","North Dakota",657569,1.52075295520318
2008,45,"39","Ohio",11515391,0.390781346460576
2008,2,"40","Oklahoma",3668976,0.0545111224494246
2008,38,"41","Oregon",3768748,1.00829240904406
2008,3818,"42","Pennsylvania",12612285,30.2720720313567
2008,210,"44","Rhode Island",1055003,19.9051566678009
2008,29,"45","South Carolina",4528996,0.640318516510061
2008,3,"46","South Dakota",799124,0.375411075127264
2008,31,"47","Tennessee",6247411,0.496205548186281
2008,153,"48","Texas",24309039,0.629395510040525
2008,5,"49","Utah",2663029,0.187756122821043
2008,404,"50","Vermont",624151,64.7279264152425
2008,933,"51","Virginia",7833496,11.9103909672003
2008,23,"53","Washington",6562231,0.350490557251032
2008,135,"54","West Virginia",1840310,7.33572061228815
2008,2034,"55","Wisconsin",5640996,36.0574621928468
2008,3,"56","Wyoming",546043,0.549407281111561
2009,3,"01","Alabama",4757938,0.0630525240135538
2009,7,"02","Alaska",698895,1.00158106725617
2009,7,"04","Arizona",6343154,0.110355195538371
2009,0,"05","Arkansas",2896843,0
2009,117,"06","California",36961229,0.316547915655077
2009,1,"08","Colorado",4972195,0.0201118419531012
2009,4156,"09","Connecticut",3561807,116.682346909869
2009,984,"10","Delaware",891730,110.347302434593
2009,61,"11","District of Columbia",592228,10.3000871286059
2009,110,"12","Florida",18652644,0.58972872693008
2009,40,"13","Georgia",9620846,0.41576385278384
2009,0,"15","Hawaii",1346717,0
2009,16,"16","Idaho",1554439,1.02931025276643
2009,136,"17","Illinois",12796778,1.0627675185113
2009,83,"18","Indiana",6459325,1.28496398617503
2009,108,"19","Iowa",3032870,3.56098349088487
2009,18,"20","Kansas",2832704,0.635435259031653
2009,1,"21","Kentucky",4317074,0.0231638373583589
2009,0,"22","Louisiana",4491648,0
2009,970,"23","Maine",1329590,72.9548206590001
2009,2024,"24","Maryland",5730388,35.3204704463293
2009,5256,"25","Massachusetts",6517613,80.6430206887092
2009,103,"26","Michigan",9901591,1.04023686698431
2009,1543,"27","Minnesota",5281203,29.2168280598189
2009,0,"28","Mississippi",2958774,0
2009,3,"29","Missouri",5961088,0.0503263833716261
2009,3,"30","Montana",983982,0.304883625919986
